@relation activity-weka.filters.unsupervised.attribute.AddExpression-Ea2-a1-Nduration-weka.filters.unsupervised.attribute.Discretize-B4-M-1.0-Rlast

@attribute user_id numeric
@attribute start numeric
@attribute end numeric
@attribute duration {0,1,2,3}

@data
1,27943,71098,0
1,71144,92870,0
1,194244,199459,2
2,39525,82681,0
2,82726,125926,1
2,125926,148590,1
2,213800,213827,2
3,6197,6246,0
3,34743,34810,0
3,34909,78072,0
3,78110,115089,1
3,120465,134525,1
3,178079,206976,2
4,30659,73846,0
4,73860,117003,0
4,117062,129477,1
4,140294,143646,1
4,198285,214564,2
5,29361,72535,0
5,72562,115721,0
5,115762,158944,1
5,158963,194167,2
6,29172,29979,0
6,31429,74551,0
6,74631,97899,0
6,200393,200929,2
7,1657,3895,0
7,23512,23673,0
7,26542,32877,0
7,36201,53602,0
7,189322,189674,2
7,193297,236408,2
7,236498,266843,3
8,36739,79832,0
8,79940,103998,1
8,104459,136585,1
8,144117,187316,1
8,187318,205322,2
8,292158,293879,3
9,13753,31899,0
9,42099,85177,0
9,85300,128438,1
9,128500,171577,1
9,171700,214802,2
9,214900,257971,2
9,258100,266763,3
10,39494,50910,0
10,53329,61130,0
10,90926,110035,1
10,172626,205141,2
11,23711,59941,0
11,88171,122551,1
11,174661,200393,2
12,31090,46216,0
12,48576,48602,0
12,48875,91997,0
12,92077,135165,1
12,135277,163985,1
13,26771,69947,0
13,69973,71638,0
14,24105,24732,0
14,24825,55635,0
14,86860,86951,1
14,93023,125702,1
14,179498,200461,2
15,2545,6039,0
15,9035,9095,0
15,9656,11480,0
15,12003,13914,0
15,26649,26718,0
15,26887,70082,0
15,70088,86959,0
15,89355,132482,1
15,153779,196975,2
15,196980,240107,2
15,240180,274550,3
16,28988,72151,0
16,72189,101807,0
16,102254,102273,1
17,29175,29235,0
17,40895,84048,0
17,84097,96895,1
17,194474,209035,2
18,521,43634,0
18,43725,86872,0
18,86926,109727,1
18,109841,141545,1
19,33924,51925,0
19,95411,95427,1
19,95485,131486,1
20,16816,23843,0
20,27723,28241,0
20,36577,36731,0
20,99694,99698,1
20,115501,115581,1
21,7683,50774,0
21,50884,63418,0
21,63847,63859,0
21,64583,64594,0
22,8712,10554,0
