@relation messages-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last

@attribute msg_id numeric
@attribute user_id numeric
@attribute created numeric
@attribute type {U,M,B}
@attribute dst numeric

@data
551,1,40055,U,22
552,1,50946,U,10
553,1,194452,U,69
554,1,194624,U,22
555,1,196339,U,22
556,3,185384,U,32
557,3,185727,U,32
558,4,117449,U,43
559,5,36621,U,6
560,5,36773,U,6
561,6,31968,U,35
562,6,33243,U,60
563,6,36122,U,5
564,6,36345,U,5
565,8,201444,U,17
566,8,202160,U,49
567,9,20983,U,51
568,10,40482,U,22
569,10,40931,M,1
570,10,41151,U,69
571,10,41819,M,1000
572,10,47085,U,22
573,10,50817,U,22
574,10,91783,U,22
575,10,99247,M,1
576,11,24623,M,1
577,11,57090,M,1
578,11,61798,M,1
579,11,98893,M,41
580,14,24484,U,11
581,14,26288,U,11
582,14,109453,U,11
583,16,29450,U,17
584,17,53450,U,56
585,17,53843,U,56
586,18,8187,U,25
587,19,36325,M,1
588,22,9188,M,1
589,22,9218,M,1
590,22,9440,M,2
591,22,9532,M,2
592,22,9681,U,69
593,22,10267,U,65
594,22,12025,U,33
595,22,12121,M,1000
596,22,12184,U,48
597,22,13225,U,69
598,22,13510,M,1
599,22,13816,U,69
600,22,20151,U,49
601,22,20180,U,49
602,22,21401,U,21
603,22,22710,U,76
604,22,31322,M,1000
605,22,35477,U,69
606,22,35515,U,69
607,22,35568,U,69
608,22,35614,U,69
609,22,36482,U,69
610,22,36829,U,69
611,22,36871,U,69
612,22,37021,U,69
613,22,37668,U,69
614,22,37699,U,69
615,22,40100,U,1
616,22,40183,U,10
617,22,50973,U,10
618,22,51095,M,4
619,22,51407,U,10
620,22,51510,M,1
621,22,88547,U,32
622,22,90001,U,27
623,22,91667,U,10
624,22,109247,M,1
625,22,109379,U,1
626,22,110202,U,2
627,22,110760,U,56
628,22,128012,U,60
629,22,129303,U,11
630,22,184019,U,69
631,22,185253,U,36
632,22,190385,U,69
633,22,190400,U,69
634,22,190414,U,69
635,22,190427,U,69
636,22,190453,U,69
637,22,190640,U,69
638,22,190721,U,69
639,22,190764,U,69
640,22,193788,U,63
641,22,194150,U,69
642,22,194187,U,69
643,22,194241,U,69
644,22,194642,U,69
645,22,194736,U,1
646,22,194881,U,69
647,22,195086,U,1
648,22,195544,U,1
649,22,195584,U,69
650,22,195718,U,69
651,22,196098,M,1
652,22,196487,U,69
653,22,198212,U,69
654,22,198562,U,69
655,22,207198,M,1000
656,25,36110,U,31
657,25,36840,U,19
658,25,188002,U,74
659,26,11075,U,24
660,28,29284,U,24
661,29,18024,U,45
662,30,31164,M,1
663,32,53522,U,33
664,32,60257,M,4
665,32,100895,U,33
666,32,107235,U,3
667,32,120216,U,3
668,32,120257,U,33
669,32,120410,U,3
670,32,120926,U,3
671,32,121176,U,3
672,32,121229,U,33
673,32,121446,M,1000
674,32,121600,M,1
675,32,183424,M,41
676,32,183649,M,93
677,32,185078,U,22
678,32,185249,U,3
679,32,194970,U,33
680,32,195099,M,1
681,32,195403,U,33
682,32,195752,U,33
683,32,196781,M,4
684,32,198282,U,3
685,32,199132,M,1001
686,33,4569,M,1
687,33,13154,M,2
688,33,53310,U,32
689,33,101614,U,32
690,33,194767,U,32
691,33,195646,U,32
692,33,212244,M,1004
693,34,4242,M,21
694,34,6888,M,1
695,34,8953,M,1
696,34,13386,U,29
697,34,18601,M,1
698,34,18740,M,2
699,34,42896,U,75
700,34,94392,U,45
701,34,99443,U,21
702,34,108479,M,1003
703,34,111872,U,45
704,34,193275,U,49
705,34,193377,U,29
706,34,193495,U,29
707,34,193545,U,8
708,35,53004,U,6
709,36,184480,M,93
710,36,184537,U,63
711,36,184821,M,93
712,36,184996,U,66
713,38,4375,U,25
714,38,4479,U,61
715,38,97684,U,36
716,38,98147,U,76
717,38,98874,M,1
718,38,105436,U,61
719,38,181721,U,61
720,43,17154,U,9
721,43,17465,U,71
722,43,103555,U,71
723,44,8883,U,46
724,45,376,U,34
725,45,417,U,34
726,45,1191,M,93
727,45,1548,U,34
728,45,2046,U,61
729,45,2660,U,74
730,45,2931,U,75
731,45,3077,U,34
732,45,3157,U,74
733,45,3321,M,1
734,45,3365,M,41
735,45,3572,U,34
736,45,4043,U,76
737,45,4191,U,76
738,45,5468,U,47
739,45,5494,U,33
740,45,5763,U,68
741,45,6840,U,49
742,45,6858,U,49
743,45,6903,U,46
744,45,8472,U,31
745,45,8508,U,41
746,45,8641,U,49
747,45,8896,U,32
748,45,8945,U,49
749,45,9003,U,34
750,45,9140,U,46
751,45,9203,U,34
752,45,9260,M,340
753,45,9319,U,49
754,45,9418,M,21
755,45,12564,U,48
756,45,12687,U,31
757,45,12687,U,31
758,45,15181,U,24
759,45,17158,U,29
760,45,18182,U,29
761,45,18217,U,28
762,45,18285,U,52
763,45,18341,U,29
764,45,92468,U,34
765,45,93018,U,52
766,45,93089,M,93
767,45,93481,U,75
768,45,94399,M,340
769,45,96059,U,57
770,45,96072,U,34
771,45,99549,U,21
772,45,103034,U,27
773,45,103305,M,75
774,45,107747,U,28
775,45,108140,U,19
776,45,108238,M,1003
777,45,108421,U,60
778,45,108465,U,34
779,45,108574,M,93
780,45,108633,M,3
781,45,109175,U,22
782,45,109243,M,51
783,45,109695,M,51
784,45,122218,M,51
785,45,122413,M,16
786,45,132088,U,8
787,45,133245,M,41
788,45,133308,M,21
789,45,181777,M,93
790,45,191090,U,52
791,45,191159,M,51
792,45,192521,U,22
793,45,192555,M,1000
794,45,192555,M,1003
795,45,193263,U,74
796,45,193372,U,57
797,45,193487,U,34
798,46,8159,U,47
799,46,199274,U,44
800,47,3544,U,46
801,47,30096,M,2
802,47,97294,U,64
803,48,12028,M,1
804,49,8665,U,34
805,49,201830,U,17
806,51,17541,U,9
807,52,9990,M,1
808,52,10227,M,2
809,52,15447,U,63
810,54,36372,M,3
811,56,53857,U,17
812,56,94466,U,59
813,57,116045,M,41
814,57,116309,U,13
815,59,36623,U,40
816,59,37261,U,64
817,59,91376,U,56
818,59,99790,U,64
819,59,100363,U,74
820,59,100863,U,64
821,59,113249,U,64
822,59,118056,U,74
823,59,138276,U,60
824,60,98061,U,6
825,60,138333,U,59
826,60,195689,U,35
827,61,3144,U,25
828,61,24145,M,1
829,63,10762,U,65
830,63,10812,U,36
831,63,95015,U,36
832,64,37386,U,59
833,64,97263,U,47
834,64,111644,U,59
835,64,111753,U,59
836,64,203562,U,59
837,65,7944,U,66
838,66,10589,U,65
839,66,10589,U,65
840,66,21484,U,65
841,66,21533,U,36
842,66,120903,U,65
843,66,204590,U,65
844,66,207352,U,47
845,67,12768,U,72
846,67,95769,U,72
847,69,9382,M,2
848,69,9604,U,22
849,69,10668,M,21
850,69,11256,M,1002
851,69,13271,U,22
852,69,13396,M,1000
853,69,13726,U,22
854,69,33171,U,22
855,69,35659,M,1000
856,69,35703,U,22
857,69,35715,U,22
858,69,35724,U,22
859,69,35736,U,22
860,69,35749,U,22
861,69,35956,U,22
862,69,37012,U,22
863,69,37112,M,1000
864,69,37527,U,22
865,69,37539,U,22
866,69,37563,U,22
867,69,37666,U,22
868,69,41146,U,22
869,69,41202,U,1
870,69,41214,U,10
871,69,41309,U,22
872,69,43549,U,22
873,69,190656,U,22
874,69,190681,U,22
875,69,194314,U,22
876,69,194418,U,22
877,69,194554,M,4
878,69,194922,U,22
879,69,195693,U,1
880,69,195797,M,340
881,69,196453,M,1
882,69,198114,U,22
883,69,198217,U,22
884,71,17807,U,43
885,71,103561,U,43
886,72,20624,U,67
887,74,12878,M,1
888,74,14017,U,76
889,74,14341,U,28
890,74,16599,U,76
891,74,25098,M,1
892,75,4282,U,37
893,75,4405,U,58
894,75,4536,M,1
895,75,6270,U,41
896,75,6395,M,1
897,75,6483,U,76
898,76,16464,U,74
