@relation newparticipants

@attribute user_id numeric
@attribute institution numeric
@attribute city numeric
@attribute country numeric

@data
1,38,16,5
2,11,3,15
3,5,6,5
4,18,17,14
5,33,32,15
6,33,32,15
7,21,31,5
8,28,27,4
9,2,7,15
10,38,16,5
11,23,25,15
12,27,24,5
13,29,9,14
14,19,14,2
15,10,18,12
16,40,11,15
17,8,22,4
18,20,10,15
19,42,29,7
20,18,17,14
21,29,9,14
22,38,16,5
23,40,11,15
24,16,20,10
25,1,7,15
26,44,36,9
27,40,11,15
28,24,13,3
29,28,27,4
30,17,15,13
31,13,35,8
32,5,6,5
33,5,6,5
34,43,34,14
35,33,32,15
36,32,30,15
37,36,4,11
38,6,26,15
39,29,9,14
40,31,21,15
41,30,27,4
42,26,1,5
43,41,2,15
44,15,5,15
45,43,34,14
46,34,4,11
47,34,4,11
48,39,19,15
49,35,27,4
50,35,27,4
51,4,25,15
52,3,8,5
53,14,33,4
54,45,38,1
55,30,27,4
56,30,27,4
57,29,9,14
58,5,6,5
59,30,27,4
60,33,32,15
61,24,13,3
62,36,4,11
63,2,7,15
64,9,27,4
65,12,23,6
66,25,12,15
67,37,4,11
68,5,6,5
69,38,16,5
70,22,37,15
71,7,28,15
72,37,4,11
73,0,0,0
74,30,27,4
75,30,27,4
76,30,27,4
