@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11-weka.filters.unsupervised.attribute.Discretize-F-B2-M-1.0-R3-10

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency {0,1}
@attribute detected_daytime {0,1}
@attribute detected_evening {0,1}
@attribute detected_latenight {0,1}
@attribute duration_short {0,1}
@attribute duration_long {0,1}
@attribute distance_close {0,1}
@attribute distance_far {0,1}
@attribute friendship {0,1}

@data
1,2,1,1,0,0,1,1,1,1,1
1,3,1,1,0,0,1,0,1,0,1
1,4,1,1,0,0,1,1,1,1,1
1,5,1,1,0,0,1,1,1,1,1
1,6,0,0,0,0,0,0,0,0,1
1,7,1,1,0,0,1,0,1,1,1
1,8,1,1,0,0,1,1,1,1,1
1,9,1,1,1,0,1,1,1,1,1
1,10,1,1,0,0,1,1,1,1,0
1,11,0,0,0,0,0,0,0,0,1
1,12,1,1,0,0,1,0,1,1,1
1,13,1,1,1,0,1,0,1,1,1
1,14,1,1,1,0,1,1,1,1,1
1,15,1,1,1,0,1,1,1,1,1
1,16,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0,1
1,18,1,1,0,0,1,1,1,1,0
1,19,0,0,0,0,0,0,0,0,1
1,20,1,1,0,0,1,0,1,0,1
1,21,1,1,1,0,1,1,1,1,1
1,22,0,0,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0
2,1,1,1,0,0,1,1,1,1,1
2,3,0,0,0,0,0,0,0,0,1
2,4,1,0,1,0,1,1,1,1,1
2,5,1,1,1,0,1,1,1,1,1
2,6,0,0,0,0,0,0,0,0,1
2,7,1,0,1,0,1,0,1,1,1
2,8,1,1,1,0,1,1,1,0,1
2,9,1,1,1,0,1,1,1,1,1
2,10,1,1,0,0,1,1,1,0,0
2,11,0,0,0,0,0,0,0,0,0
2,12,1,1,0,0,0,1,1,1,1
2,13,1,1,0,0,0,1,1,1,1
2,14,1,1,1,0,0,1,1,1,1
2,15,1,1,1,0,1,1,1,1,1
2,16,0,0,0,0,0,0,0,0,0
2,17,1,0,1,0,1,1,1,1,1
2,18,0,0,0,0,0,0,0,0,0
2,19,1,0,1,0,1,0,1,1,1
2,20,0,0,0,0,0,0,0,0,1
2,21,1,0,1,0,0,1,1,1,0
2,22,0,0,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0,0,0
2,24,0,0,0,0,0,0,0,0,0
3,1,1,1,0,0,1,1,1,1,1
3,2,1,1,0,0,0,1,1,1,1
3,4,1,1,1,0,1,1,1,1,0
3,5,1,1,0,0,0,1,0,1,0
3,6,1,1,0,0,1,1,1,0,0
3,7,0,0,0,0,0,0,0,0,0
3,8,0,0,0,0,0,0,0,0,0
3,9,1,1,0,0,1,1,1,1,1
3,10,0,0,0,0,0,0,0,0,0
3,11,0,0,0,0,0,0,0,0,0
3,12,0,0,0,0,0,0,0,0,0
3,13,0,0,0,0,0,0,0,0,0
3,14,1,1,1,0,1,1,1,1,1
3,15,0,0,0,0,0,0,0,0,0
3,16,0,0,0,0,0,0,0,0,0
3,17,0,0,0,0,0,0,0,0,0
3,18,0,0,0,0,0,0,0,0,1
3,19,0,0,0,0,0,0,0,0,0
3,20,0,0,0,0,0,0,0,0,0
3,21,0,0,0,0,0,0,0,0,0
3,22,0,0,0,0,0,0,0,0,0
3,23,0,0,0,0,0,0,0,0,0
3,24,1,1,0,0,1,0,1,1,0
4,1,1,1,0,0,1,0,1,1,1
4,2,1,0,1,0,1,1,1,1,1
4,3,1,0,1,0,1,0,1,1,0
4,5,1,1,1,0,1,1,1,1,1
4,6,1,1,0,0,1,0,1,1,1
4,7,1,0,1,0,1,1,1,1,1
4,8,1,1,0,0,1,1,1,0,1
4,9,1,1,1,0,1,1,1,1,1
4,10,0,0,0,0,0,0,0,0,1
4,11,1,0,1,0,1,0,1,1,1
4,12,1,1,1,0,1,0,1,1,1
4,13,0,0,0,0,0,0,0,0,1
4,14,1,1,1,0,1,1,1,1,1
4,15,1,1,1,0,1,1,1,1,1
4,16,0,0,0,0,0,0,0,0,0
4,17,1,1,1,0,1,1,1,1,0
4,18,1,1,0,0,1,1,1,1,0
4,19,1,1,0,0,1,1,1,1,1
4,20,1,1,0,0,0,1,0,1,1
4,21,1,1,0,0,0,1,1,0,0
4,22,0,0,0,0,0,0,0,0,0
4,23,1,1,0,0,1,0,1,0,0
4,24,1,1,1,0,1,0,1,0,0
5,1,1,1,0,1,1,1,1,1,1
5,2,1,1,1,0,1,1,1,1,1
5,3,0,0,0,0,0,0,0,0,0
5,4,1,1,1,0,1,1,1,1,1
5,6,1,1,1,0,1,1,1,1,1
5,7,1,1,1,0,1,1,1,1,1
5,8,1,1,1,0,1,1,1,1,0
5,9,1,1,1,1,1,1,1,1,1
5,10,0,0,0,0,0,0,0,0,0
5,11,1,1,0,0,0,1,1,1,1
5,12,1,1,1,1,1,1,1,1,1
5,13,1,0,1,0,1,1,1,1,1
5,14,1,1,1,0,1,1,1,1,1
5,15,1,1,1,0,1,1,1,1,0
5,16,0,0,0,0,0,0,0,0,0
5,17,0,0,0,0,0,0,0,0,1
5,18,1,0,1,0,0,1,1,0,1
5,19,1,1,1,0,1,1,1,1,1
5,20,0,0,0,0,0,0,0,0,1
5,21,1,1,1,0,1,1,1,1,1
5,22,0,0,0,0,0,0,0,0,0
5,23,1,1,1,0,1,0,1,0,0
5,24,1,0,1,0,1,1,1,0,0
6,1,0,0,0,0,0,0,0,0,1
6,2,0,0,0,0,0,0,0,0,1
6,3,0,0,0,0,0,0,0,0,0
6,4,1,1,0,0,1,1,1,1,1
6,5,1,0,1,0,1,1,1,0,1
6,7,0,0,0,0,0,0,0,0,1
6,8,0,0,0,0,0,0,0,0,0
6,9,1,1,0,0,0,1,1,1,1
6,10,0,0,0,0,0,0,0,0,0
6,11,0,0,0,0,0,0,0,0,1
6,12,0,0,0,0,0,0,0,0,1
6,13,0,0,0,0,0,0,0,0,0
6,14,1,1,1,0,1,1,1,1,1
6,15,0,0,0,0,0,0,0,0,0
6,16,0,0,0,0,0,0,0,0,1
6,17,0,0,0,0,0,0,0,0,1
6,18,0,0,0,0,0,0,0,0,0
6,19,0,0,0,0,0,0,0,0,0
6,20,0,0,0,0,0,0,0,0,1
6,21,1,1,0,0,1,1,1,0,0
6,22,1,1,0,0,0,1,1,0,0
6,23,0,0,0,0,0,0,0,0,0
6,24,1,1,0,0,1,1,1,0,0
7,1,1,1,1,0,1,1,1,1,1
7,2,1,1,1,0,1,1,1,1,1
7,3,0,0,0,0,0,0,0,0,0
7,4,0,0,0,0,0,0,0,0,1
7,5,1,1,1,0,1,1,1,1,1
7,6,0,0,0,0,0,0,0,0,1
7,8,1,1,1,0,1,1,1,1,0
7,9,1,1,1,0,1,1,1,1,1
7,10,0,0,0,0,0,0,0,0,0
7,11,0,0,0,0,0,0,0,0,1
7,12,1,1,1,0,1,1,1,1,1
7,13,1,1,1,0,1,1,1,1,1
7,14,0,0,0,0,0,0,0,0,1
7,15,1,1,1,0,1,1,1,1,1
7,16,0,0,0,0,0,0,0,0,1
