@relation relationships-weka.filters.unsupervised.attribute.NumericToNominal-R11

@attribute detectorId numeric
@attribute detectedId numeric
@attribute detected_frequency numeric
@attribute detected_daytime numeric
@attribute detected_evening numeric
@attribute detected_latenight numeric
@attribute duration_short numeric
@attribute duration_long numeric
@attribute distance_close numeric
@attribute distance_far numeric
@attribute friendship {0,1}

@data
1,2,408,408,0,0,401,7,247,161,1
1,3,89,89,0,0,89,0,89,0,1
1,4,100,100,0,0,97,3,8,92,1
1,5,323,323,0,0,320,3,77,246,1
1,6,0,0,0,0,0,0,0,0,1
1,7,73,73,0,0,73,0,45,28,1
1,8,205,205,0,0,204,1,192,13,1
1,9,928,914,14,0,902,26,235,693,1
1,10,31,31,0,0,30,1,22,9,0
1,11,0,0,0,0,0,0,0,0,1
1,12,17,17,0,0,17,0,7,10,1
1,13,83,82,1,0,83,0,70,13,1
1,14,807,774,33,0,790,17,565,242,1
1,15,146,122,24,0,132,14,137,9,1
1,16,0,0,0,0,0,0,0,0,0
1,17,0,0,0,0,0,0,0,0,1
1,18,68,68,0,0,67,1,67,1,0
1,19,0,0,0,0,0,0,0,0,1
1,20,1,1,0,0,1,0,1,0,1
1,21,29,24,5,0,17,12,28,1,1
1,22,0,0,0,0,0,0,0,0,0
1,23,0,0,0,0,0,0,0,0,0
1,24,0,0,0,0,0,0,0,0,0
2,1,5,5,0,0,1,4,4,1,1
2,3,0,0,0,0,0,0,0,0,1
2,4,371,0,371,0,370,1,134,237,1
2,5,237,183,54,0,218,19,16,221,1
2,6,0,0,0,0,0,0,0,0,1
2,7,273,0,273,0,273,0,203,70,1
2,8,20,7,13,0,2,18,20,0,1
2,9,1068,1,1067,0,1044,24,59,1009,1
2,10,3,3,0,0,1,2,3,0,0
2,11,0,0,0,0,0,0,0,0,0
2,12,2,2,0,0,0,2,1,1,1
2,13,3,3,0,0,0,3,1,2,1
2,14,14,1,13,0,0,14,2,12,1
2,15,330,47,283,0,308,22,132,198,1
2,16,0,0,0,0,0,0,0,0,0
2,17,2,0,2,0,1,1,1,1,1
2,18,0,0,0,0,0,0,0,0,0
2,19,42,0,42,0,42,0,13,29,1
2,20,0,0,0,0,0,0,0,0,1
2,21,5,0,5,0,0,5,3,2,0
2,22,0,0,0,0,0,0,0,0,0
2,23,0,0,0,0,0,0,0,0,0
2,24,0,0,0,0,0,0,0,0,0
3,1,114,114,0,0,110,4,84,30,1
3,2,2,2,0,0,0,2,1,1,1
3,4,144,3,141,0,141,3,4,140,0
3,5,3,3,0,0,0,3,0,3,0
3,6,2,2,0,0,1,1,2,0,0
